searchTerms,synonyms,type,uniqueId
corn,mais;cornflakes;popcorn,one-way,"0028a8b4ca2649ea80ad3a0412ab0a98"
"ros%c3%a9",rosé,one-way,"00ae7983602f4310a9c6bc235e812e03"
,"rode uit;rode ui;rode uitjes",multi-way,"012373852b5f42e5b6e632944bcdbc92"
schelpjes,"Conchiglie;suikerschelpen;schelpen",one-way,"01ef2fcda0434125a5b88353c5c39d8c"
"this is food",YFood,one-way,"02109ad3de564c0d9dcde3c788d33b4c"
,kleine;mini;klein,multi-way,"02696ebba4f7403aa494a97ba2dc0c74"
,batterijen;baterijen,multi-way,"028806be6ed845d2a87dfbe5ffea140e"
,"wegwerp handschoenen;latex handschoenen;wegwerphandschoenen",multi-way,"0429bf09395b4b7ab6d26db744127f26"
"Groente mix","Iglo spinazie gehakt",one-way,"0521b0b245464991b07326d5b3913069"
zuur,"tafelzuren;uitjes;augurken;piccalilly",one-way,"05a4e7ab746645bcb0a8ac061f4f40d9"
,"ijshoorn;oublie hoorntjes;hoorntjes;ijshoorntjes;roomijshoorntjes;roomijshoorn",multi-way,"05a677f0cb5a4461ace7d159d2681ee8"
ontbijt,"brood;kaas voor op brood;broodsalades;smeersels;vleeswaren;ontbijtgranen;yoghurt;kwark;cereals;fruitsalade;fruitmix",one-way,"07339210d216480fa7ef55f3623d4c74"
hand,handzeep;handcreme,one-way,"073c3d029deb42ac86c0906289d8fbbf"
yogh,yoghurt,one-way,"0af91076e62b4b7e8e89d460be49d90c"
feest,borrel,one-way,"0eed3edf9f2041d89a47c0a554a43044"
lunch,"brood;broodsalades;smeersels;vleeswaren;ontbijtgranen;yoghurt;kwark;fruitsalade;fruitmix;kaas voor op brood",one-way,"0f1763e6b49149aea661162a530b643e"
,"milkshake;milk shake",multi-way,1000_1611580148234
"alles reiniger",allesreiniger,one-way,1001_1611580148234
"koolhydraatarme producten","atkins;slim pasta;slim rijst;slim noodles",one-way,1002_1611580148234
,"komijnpoeder;komijnzaad;komijn gemalen",multi-way,1003_1611580148234
,"italiaanse kruiden;italiaanse kruidenmix;italiaanse tuinkruiden;mix italiaans",multi-way,1005_1611580148234
,"celavita;cêlavíta;cela vita",multi-way,1006_1611580148234
,"aardappelkruiden;aardappel kruiden;kruidenmix aardappel;kruiden aardappels;frietkruiden;patatkruiden;friet kruiden;patat kruiden;kruidenmix voor aardappel;mix voor aardappel",multi-way,1008_1611580148234
"krop sla",kropsla,one-way,1009_1611580148234
rosenscharf,paprikapoeder,one-way,100_1611580148234
,"yildriz;yil'driz",multi-way,1010_1611580148234
gratintorentjes,"gratin torentjes",one-way,1012_1611580148234
,"ecoclassic;jumbo halogeen;spaarlamp;spaar lampen;spaar lamp;spaarlampen",multi-way,1013_1611580148234
,"vegetarische kruidenmix;vegetarische kruiden;kruiden vegetarisch;vega kruiden",multi-way,1014_1611580148234
"hollandse sla","krop sla;sla",one-way,1015_1611580148234
,"Hüttenkäse;hutenkase;huttenkase;huttekase;cottage cheese;cottagecheese;huttecase;hutte;huttenkaas;hutte kase;hutten;cottages cheese;cottage",multi-way,1016_1611580148234
chocoladepancakes,"pancakes double chocolate",one-way,1018_1611580148234
,"L'Oréal;loreal;l'oreal;oréal",multi-way,1019_1611580148234
,"kipspies;kipspiesjes;Nieuwe Standaard Kip Kipshaslick 0;240kg;Nieuwe Standaard Kip Kipdijfiletspies;Nieuwe Standaard Kip Kipspies Gegaard;kipshaslick 225g;kipsatespies",multi-way,101_1611580148234
,pear;peer;peren,multi-way,1021_1611580148234
bananenvla,"banaanvla;zacht en luchtig banaan",one-way,1022_1611580148234
jils,jillz,one-way,1023_1611580148234
